Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.2575,-46.47,180.0,top
C2,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.2575,-49.4,180.0,top
C3,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.2375,-52.3,180.0,top
C4,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.9,-64.7,90.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,115.8,-64.7,90.0,top
C6,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112.7,-64.7,90.0,top
C7,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.6,-61.9,-90.0,top
C8,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,105.9375,-70.4,180.0,top
FL1,DLP2ADN121HL4L,Murata_DLP2ADN121HL4L,128.6499,-67.225,0.0,top
FL2,DLP2ADN121HL4L,Murata_DLP2ADN121HL4L,125.9499,-67.175,0.0,top
IC1,SN75LVDS83B,TSSOP56,123.5,-50.03,-90.0,top
J1,RPi_GPIO,Samtec_HLE-120-02-XXX-DV-BE-XX-XX,123.5,-26.0,90.0,top
J2,20374-R30E-31,I-PEX_20374-R30E-31,123.5,-72.015,0.0,top
J4,qwiic,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,152.795,-39.26,90.0,top
R1,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.5,-48.9,-90.0,top
R2,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,106.5,-48.9,-90.0,top
RN1,47,R_Array_Convex_4x0603,104.85,-33.6,90.0,bottom
RN2,47,R_Array_Convex_4x0603,113.6,-33.6,90.0,bottom
RN3,47,R_Array_Convex_4x0603,125.2,-32.1,90.0,bottom
RN4,47,R_Array_Convex_4x0603,132.0,-32.1,90.0,bottom
RN5,47,R_Array_Convex_4x0603,140.5,-32.55,90.0,bottom
RN6,47,R_Array_Convex_4x0603,142.4,-42.25,90.0,bottom
U1,AP2114H-2.5,SOT-223-3_TabPin2,106.78,-64.18,-90.0,top
